java -jar cryptic-sequences-cli/build/libs/cryptic-sequences-cli-2.2.4-SNAPSHOT-all.jar --size 14 --base 16 --byte-count 7 --strength 10 --key C | dieharder -g 200 -a
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  6.14e+05  |2271166526|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.87737402|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.19837192|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.78140449|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.76003988|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.74029007|  PASSED  
        diehard_opso|   0|   2097152|     100|0.25680231|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.50988854|  PASSED  
         diehard_dna|   0|   2097152|     100|0.89311074|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.48412327|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.86077189|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.56923274|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.00826662|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.75939966|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.29158001|  PASSED  
        diehard_sums|   0|       100|     100|0.10639914|  PASSED  
        diehard_runs|   0|    100000|     100|0.42574096|  PASSED  
        diehard_runs|   0|    100000|     100|0.22520617|  PASSED  
       diehard_craps|   0|    200000|     100|0.07004232|  PASSED  
       diehard_craps|   0|    200000|     100|0.38012200|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07003890|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.51889125|  PASSED  
         sts_monobit|   1|    100000|     100|0.00559138|  PASSED  
            sts_runs|   2|    100000|     100|0.07237964|  PASSED  
          sts_serial|   1|    100000|     100|0.59331916|  PASSED  
          sts_serial|   2|    100000|     100|0.15796019|  PASSED  
          sts_serial|   3|    100000|     100|0.03561809|  PASSED  
          sts_serial|   3|    100000|     100|0.79577246|  PASSED  
          sts_serial|   4|    100000|     100|0.00351649|   WEAK   
          sts_serial|   4|    100000|     100|0.31198420|  PASSED  
